"id","name","level","desc","p_id"
1100,画面设定,1,,
1101,画面基础/数值,2,,1100
1102,画面结构/类型,2,,1100
1103,画面解析/画质,2,,1100
1104,画面效果/精度,2,,1100
1105,画面风格/主题,2,,1100
1106,画面边框/底纹,2,,1100
1107,画面焦点/视角,2,,1100
1108,画面亮度/光影,2,,1100
1109,画面色彩/饱和,2,,1100
1110,画面设定/其他,2,,1100
1200,角色设定,1,,
1201,性别标签/取向,2,,1200
1202,年龄标签/寿命,2,,1200
1203,人物生成/数量,2,,1200
1204,人物体形/体格,2,,1200
1205,人物种族/非人,2,,1200
1206,人物职业/身份,2,,1200
1207,人物风格/印象,2,,1200
1208,人物关系/家庭,2,,1200
1209,人物状态/异常,2,,1200
1210,人物标签/其他,2,,1200
1300,人体设定,1,,
1301,人体结构/透视,2,,1300
1302,人体动作/姿势,2,,1300
1303,人体外观/线条,2,,1300
1304,人体光影/阴影,2,,1300
1305,人体质感/皮肤,2,,1300
1306,人体表现/外观,2,,1300
1307,胸部形状/胸围,2,,1300
1308,胸部效果/表现,2,,1300
1309,人体部位/器官,2,,1300
1310,人体标签/其他,2,,1300
1400,脸部设定,1,,
1401,脸部色彩/质感,2,,1400
1402,脸部特征/疤痕,2,,1400
1403,脸部妆容/化妆,2,,1400
1404,脸部装饰/面具,2,,1400
1405,脸部表情/感情,2,,1400
1406,表情符号/表情,2,,1400
1407,表情组合/动作,2,,1400
1408,脸部形状/结构,2,,1400
1409,脸部效果/光影,2,,1400
1410,脸部标签/其他,2,,1400
1500,五官设定,1,,
1501,眼睛外观/眼影,2,,1500
1502,瞳孔颜色/形状,2,,1500
1503,眉毛形状/效果,2,,1500
1504,舌头形状/动作,2,,1500
1505,嘴唇形状/效果,2,,1500
1506,耳朵形状/效果,2,,1500
1507,牙齿形状/效果,2,,1500
1508,鼻子形状/效果,2,,1500
1509,胡子形状/效果,2,,1500
1510,五官标签/其他,2,,1500
1511,五官组合,2,,1500
1600,头发设定,1,,
1601,头发属性/发型,2,,1600
1602,头发长度/外观,2,,1600
1603,头发颜色/染发,2,,1600
1604,头发质感/触感,2,,1600
1605,头发发饰/装饰,2,,1600
1606,头发效果/风格,2,,1600
1607,前发设定/刘海,2,,1600
1608,侧发设定/辫子,2,,1600
1609,后发马尾/发髻,2,,1600
1610,发型组合/其他,2,,1600
1700,服装设定,1,,
1701,服装类型/设定,2,,1700
1702,服装风格/流派,2,,1700
1703,服装材质/厚度,2,,1700
1704,服装状态/变化,2,,1700
1705,服装分离/损坏,2,,1700
1706,服装穿着/部位,2,,1700
1707,服装穿着/动作,2,,1700
1708,角色扮演/cosplay,2,,1700
1710,服装标签/其他,2,,1700
1800,服装外观,1,,
1801,衬衫短袖/外观,2,,1800
1802,内衣文胸/外观,2,,1800
1803,内裤胖次/外观,2,,1800
1804,外套风衣/外观,2,,1800
1805,制服套装/外观,2,,1800
1806,鞋子靴子/外观,2,,1800
1807,袜子裤袜/外观,2,,1800
1808,手套护手/外观,2,,1800
1809,帽子头盔/外观,2,,1800
1810,裤子短裤/外观,2,,1800
1811,裙子裙摆/外观,2,,1800
1812,泳装泳衣/外观,2,,1800
1813,季节服装/外观,2,,1800
1814,常服休闲/外观,2,,1800
1898,服装组合/外观,2,,1800
1899,其他服装/外观,2,,1800
1900,装饰设定,1,,
1901,手指/手腕装饰,2,,1900
1902,腿部/脚腕装饰,2,,1900
1903,背部/翅膀装饰,2,,1900
1904,颈部/项链装饰,2,,1900
1905,头部/兽耳装饰,2,,1900
1906,耳环/挂坠装饰,2,,1900
1907,眼镜/镜片装饰,2,,1900
1908,臀部/尾巴装饰,2,,1900
1909,胸花/徽章装饰,2,,1900
1999,装饰标签/其他,2,,1900
2000,背景设定,1,,
2001,具体时间/历史,2,,2000
2002,季节环境/四季,2,,2000
2003,自然风景/地点,2,,2000
2004,室外场所/建筑,2,,2000
2005,室内设施/场景,2,,2000
2006,天气变化/气候,2,,2000
2007,庆典节日/祭典,2,,2000
2008,群星宇宙/维度,2,,2000
2009,野生动物/宠物,2,,2000
2010,机械背景/未来,2,,2000
2011,幻想世界/生命,2,,2000
2012,宗教符号/仪式,2,,2000
2013,场景动态/特效,2,,2000
2014,自然灾难/地理,2,,2000
2015,人类战争/死亡,2,,2000
2016,近代科技/科学,2,,2000
2017,工业科技/蒸汽,2,,2000
2019,魔法科技/魔幻,2,,2000
2020,修仙武侠/玄幻,2,,2000
2099,其他元素/背景,2,,2000
2100,动作设定,1,,
2101,头部/脖子动作,2,,2100
2102,身体/躯干动作,2,,2100
2103,手指/手势动作,2,,2100
2104,手臂/双手动作,2,,2100
2105,腿部/双腿动作,2,,2100
2106,足部/脚部动作,2,,2100
2107,体操/武术动作,2,,2100
2108,多人/交互动作,2,,2100
2109,运动/灵巧动作,2,,2100
2110,动作标签/其他,2,,2100
2200,肢体设定,1,,
2201,肢体数量/设定,2,,2200
2202,肢体类型/设定,2,,2200
2203,肢体状态/设定,2,,2200
2204,腿部外观/效果,2,,2200
