id,name,t_name,is_nsfw,desc,remarks,c_id,update_times
0,!,!,0,,,2901,
1,!!,!!,0,,,2901,
2,!?,!?,0,,,2901,
3,#compass,#指南针,0,,,2901,
4,#NAME?,#NAME?,0,,,2901,
5,+ +,+ +,0,,,2901,
6,+++,+++,0,,,2901,
7,. .,. .,0,,,2901,
8,...,...,0,,,2901,
9,...!,...!,0,,,2901,
10,...?,...?,0,,,2901,
11,.flow,.流,0,,,2901,
12,.hack//,.hack //,0,,,2901,
13,.hack//g.u.,.hack//gu,0,,,2901,
14,.hack//games,.hack//游戏,0,,,2901,
15,.hack//link,.hack//链接,0,,,2901,
16,.hack//sign,.hack//sign,0,,,2901,
17,.hack//tasogare no udewa densetsu,.hack//tasogare no udewa densetsu,0,,,2901,
18,.live,.live,0,,,2901,
19,.me,.me,0,,,2901,
20,.sin,.sin,0,,,2901,
21,0 (znanimo),0 (znanimo),0,,,2501,
22,0 0,0 0,0,,,3101,
23,0-den,0-登,0,,,2901,
24,00 gundam,00高达,0,,,2604,
25,00 qan[t],00 量[t],0,,,3101,
26,001 (darling in the franxx),001（弗兰克斯的宠儿）,0,,,2799,
27,01 0219,01 0219,0,,,3101,
28,013 (hamsasuke),013 (仓佐助),0,,,2799,
29,0930erina,0930艾丽娜,0,,,3101,
30,100 percent orange juice,100% 橙汁,0,,,3101,
31,1041 (toshikazu),1041（俊和）,0,,,2501,
32,108 gou,108狗,0,,,2501,
33,10eki (tenchou),10eki (tenchou),0,,,2501,
34,10mo,10个月,0,,,3101,
35,119,119,0,,,3101,
36,11eyes,11眼,0,,,1501,
37,1225ka,1225ka,0,,,2501,
38,13 (spice!!),13（香料！！）,0,,,2501,
39,14 (vision5032),14（视觉5032）,0,,,2501,
40,147,147,0,,,3101,
41,14sai bishoujo (shoutarou),14sai bishoujo (shoutarou),0,,,2501,
42,15 (tooka),15（接）,0,,,2501,
43,159cm,159cm,0,,,3101,
44,16 ban,16 禁令,0,,,3101,
45,1672,1672,0,,,3101,
46,1960s (style),1960 年代（风格）,0,,,1108,
47,1970s (style),1970 年代（风格）,0,,,1108,
48,1980s (style),1980 年代（风格）,0,,,1108,
49,1990s (style),1990 年代（风格）,0,,,1108,
50,1996,1996,0,,,3101,
51,1=2,1=2,0,,,3101,
52,1boy,1男孩,0,,,3101,
53,1koma,1科马,0,,,3101,
54,1nupool,1个纽池,0,,,3101,
55,1other,1其他,0,,,3101,
56,1up,1向上,0,,,3101,
57,2 fuel 4 ammo 11 steel,2 燃料 4 弹药 11 钢,0,,,3101,
58,2-g,2克,0,,,3101,
59,2000s (style),2000 年代（风格）,0,,,1108,
60,2002,2002,0,,,2001,
61,2003,2003,0,,,2001,
62,2004,2004,0,,,2001,
63,2005,2005,0,,,2001,
64,2006,2006,0,,,2001,
65,2007,2007,0,,,2001,
66,2008,2008,0,,,2001,
67,2009,2009,0,,,2001,
68,2010,2010,0,,,2001,
69,2010 fifa world cup,2010 年国际足联世界杯,0,,,2001,
70,2011,2011,0,,,2001,
71,2011 sendai earthquake and tsunami,2011 年仙台地震和海啸,0,,,2001,
72,2012,2012,0,,,2001,
73,2013,2013,0,,,2001,
74,2014,2014,0,,,2001,
75,2014 fifa world cup,2014 年国际足联世界杯,0,,,2001,
76,2015,2015,0,,,2001,
77,2016,2016,0,,,2001,
78,2017,2017,0,,,2001,
79,2018,2018,0,,,2001,
80,2018 fifa world cup,2018 年国际足联世界杯,0,,,2001,
81,2019,2019,0,,,2001,
82,2020,2020,0,,,2001,
83,2021,2021,0,,,2001,
84,2022,2022,0,,,2001,
85,203wolves,203狼,0,,,3101,
86,212 (kisaragi),212（如月）,0,,,2501,
87,216,216,0,,,3101,
88,218,218,0,,,3101,
89,21yc (september breeze),21yc（九月微风）,0,,,2501,
90,221 (tsutsuichi),221（通市）,0,,,2501,
91,23 (candy chapus),23（糖果夹）,0,,,2501,
92,23 (real xxiii),23（雷亚尔 xxiii）,0,,,2501,
93,25-ji night code de. (project sekai),25-ji 夜代码 de。 （项目世界）,0,,,2501,
94,258n,258n,0,,,2501,
95,2b-ge,2b-ge,0,,,2501,
96,2ch,2ch,0,,,2501,
97,2drr,2drr,0,,,2501,
98,2equal8,2等于8,0,,,2501,
99,2girls,2个女孩,0,,,3101,
100,2k-tan,2k-棕褐色,0,,,1701,
101,2koma,2koma,0,,,3101,
102,2l (2lsize),2l (2lsize),0,,,2799,
103,2others,其他 2 人,0,,,3101,
104,3,3,0,,,3101,
105,3 (sanyako1),3 (sanyako1),0,,,2799,
106,3 3,3 3,0,,,3101,
107,3 small spiders,3 只小蜘蛛,0,,,3101,
108,3.1-tan,3.1-棕褐色,0,,,1701,
109,3.14,3.14,0,,,3101,
110,300,300,0,,,3101,
111,302,302,0,,,3101,
112,3104 (3104milkshake),3104 (3104奶昔),0,,,2501,
113,34no404,34no404,0,,,2501,
114,35p (sakura miko),35p（樱花巫女）,0,,,2501,
115,38 (sanjuuhachi),38（三十八）,0,,,2501,
116,39,39,0,,,3101,
117,3:00,3:00,0,,,3101,
118,3;,3;,0,,,3101,
119,3d,3d,0,,,3101,
120,3d background,3D背景,0,,,1102,
121,3d glasses,3d眼镜,0,,,1907,
122,3four,34,0,,,3101,
123,3koma,3koma,0,,,3101,
124,3others,其他 3,0,,,3101,
125,3u,3u,0,,,3101,
126,40 (0f0urw),40 (0f0urw),0,,,2799,
127,40010prototype,40010原型,0,,,2501,
128,404 (girls' frontline),404（少女前线）,0,,,2501,
129,40hara,40 原,0,,,2501,
130,428,428,0,,,2501,
131,463 jun,198 年 6 月 463 日,0,,,2501,
132,4690 (tkpbsk),4690 (tkpbsk),0,,,2501,
