id,url,tag,right_tag_cn,您的注释,待验证组合tag,待验证相克tag
2,1boy,1boy,1个男性,,,
3,1girl,1girl,1个女性,,,
4,1koma,1koma,单格漫画,,,
5,1other,1other,1个非人类,,,
6,2boys,2boys,2个男性,,,
7,2girls,2girls,2个女性,,,
8,2koma,2koma,双分镜漫画,,,
9,2others,2others,2个非人类,,,
10,3:00,3:00,3:00,,,
11,3boys,3boys,3个男性,,,
12,3d,3d,3D,,,
13,3girls,3girls,3个女性,,,
14,3koma,3koma,三格漫画,,,
15,4boys,4boys,4个男性,,,
16,4girls,4girls,4个女性,,,
17,4koma,4koma,四格漫画,,,
18,5boys,5boys,5个男性,,,
19,5girls,5girls,5个女性,,,
20,5koma,5koma,五格漫画,,,
21,6+boys,6+boys,6个以上的男性,,,
22,6+girls,6+girls,6个以上的女性,,,
23,39,39,初音未来,,,
24,69,69,69(体位),,,
25,1970s_(style),1970s_(style),20世纪70年代(风格),,,
26,1980s_(style),1980s_(style),20世纪80年代(风格),,,
27,1990s_(style),1990s_(style),90年代(风格),,,
28,!,!,!,,,
29,!!,!!,!!,,,
30,!!?,!!?,!!?,,,
31,!?,!?,!?,,,
32,-9,-9,-9,,,
33,(o)_(o),(o)_(o),(o)_(o),,,
34,+++,+++,+++,,,
36,...,...,...,,,
38,:3,:3,:3,,,
39,:<,:<,:<,,,
40,:>,:>,:>,,,
41,:>=,:>=,:>=,,,
42,:d,:d,:d,,,
43,:i,:i,:i,,,
44,:o,:o,:o,,,
45,:p,:p,:p,,,
46,:q,:q,:q,,,
47,:t,:t,:t,,,
48,:x,:x,:x,,,
49,;3,;3,;3,,,
50,;),;),;),,,
51,;d,;d,;d,,,
52,;o,;o,;o,,,
53,;p,;p,;p,,,
54,;q,;q,;q,,,
56,3,3,3,,,
58,>:(,>:(,>:(,,,
59,>:),>:),>:),,,
62,>o<,>o<,>o<,,,
65,^o^,^o^,^o^,,,
66,abs,abs,腹肌,,,
67,absolutely_everyone,absolutely_everyone,大合影|全家福,,,
68,abstract,abstract,抽象,,,
69,abstract_background,abstract_background,抽象背景,,,
70,absurdly_long_hair,absurdly_long_hair,超长的头发,,,
71,abuse,abuse,虐待,,,
72,acoustic_guitar,acoustic_guitar,原声吉他,,,
73,acrylic_paint_(medium),acrylic_paint_(medium),亚克力画风,,,
74,adapted_costume,adapted_costume,原设服装改编,,,
75,adapted_uniform,adapted_uniform,改装制服,,,
76,adjusting_clothes,adjusting_clothes,拨弄衣服,,,
77,adjusting_eyewear,adjusting_eyewear,扶眼镜,,,
78,adjusting_gloves,adjusting_gloves,拨弄手套,,,
79,adjusting_hair,adjusting_hair,理头发,,,
80,adjusting_hat,adjusting_hat,整理帽子,,,
81,adjusting_headwear,adjusting_headwear,整理头饰,,,
82,adjusting_legwear,adjusting_legwear,整理裤袜,,,
83,adjusting_panties,adjusting_panties,拨内裤,,,
84,adjusting_swimsuit,adjusting_swimsuit,拨弄泳衣,,,
85,aerial_fireworks,aerial_fireworks,空中烟火,,,
86,aestus_estus,aestus_estus,原初之火(武器),,,
87,afloat,afloat,漂浮,,,
88,afro,afro,鸟窝头|爆炸头,,,
89,after_anal,after_anal,肛交后,,,
90,after_fellatio,after_fellatio,口交后,,,
91,after_kiss,after_kiss,接吻后,,,
92,after_paizuri,after_paizuri,乳交后,,,
93,after_sex,after_sex,事后,,,
94,after_vaginal,after_vaginal,事后阴道特写,,,
95,afterglow,afterglow,事后余韵,,,
96,afterimage,afterimage,残像,,,
97,against_glass,against_glass,压在玻璃上,,,
98,against_wall,against_wall,压在墙上,,,
99,age_difference,age_difference,年龄差,,,
100,age_progression,age_progression,年龄段展现,,,
101,age_regression,age_regression,幼化,,,
102,ahegao,ahegao,阿嘿颜,,,
103,ahoge,ahoge,呆毛,,,
104,aiguillette,aiguillette,绶带,,,
105,aiming,aiming,瞄准,,,
106,aiming_at_viewer,aiming_at_viewer,瞄准了读者(的视角),,,
107,ainu_clothes,ainu_clothes,阿伊努人的服饰,,,
108,air_bubble,air_bubble,气泡,,,
109,air_conditioner,air_conditioner,空调,,,
110,aircraft,aircraft,飞行器,,,
111,airplane,airplane,飞机,,,
112,airship,airship,飞艇,,,
113,ajirogasa,ajirogasa,笠帽,,,
114,akanbe,akanbe,拉下眼睑的鬼脸,,,
115,akeome,akeome,新年伊始,,,
116,alarm_clock,alarm_clock,闹钟,,,
117,albino,albino,白化病,,,
118,album_cover,album_cover,专辑封面,,,
119,alcohol,alcohol,酒,,,
120,alien,alien,外星人,,,
121,all_fours,all_fours,母豹pose,,,
122,alley,alley,小巷,,,
123,alolan_form,alolan_form,阿罗拉形态(宝可梦),,,
124,alpha_signature,alpha_signature,阿尔法签名(推特用),,,
125,alphes_(style),alphes_(style),阿尔卑斯风格,,,
126,alternate_breast_size,alternate_breast_size,贫乳化|爆乳化,,,
127,alternate_color,alternate_color,异色,,,
128,alternate_costume,alternate_costume,角色换装,,,
129,alternate_eye_color,alternate_eye_color,与原设不同瞳色,,,
130,alternate_form,alternate_form,与原设不同形态变化,,,
131,alternate_hair_color,alternate_hair_color,与原设不同发色变化,,,
132,alternate_hair_length,alternate_hair_length,与原设不同头发长度变化,,,
133,alternate_hairstyle,alternate_hairstyle,与原设不同发型变化,,,
134,alternate_headwear,alternate_headwear,与原设不同头饰变化,,,
135,alternate_legwear,alternate_legwear,与原设不同腿部穿着变化,,,
136,alternate_skin_color,alternate_skin_color,与原设不同肤色变化,,,
137,alternate_weapon,alternate_weapon,与原设不同武器变化,,,
138,alternate_wings,alternate_wings,与原设不同翅膀,,,
139,ambiguous_gender,ambiguous_gender,性别暧昧,,,
140,america,america,美国,,,
141,american_flag,american_flag,星条旗,,,
142,american_flag_bikini,american_flag_bikini,星条旗比基尼,,,
143,ammunition,ammunition,弹药,,,
144,ammunition_belt,ammunition_belt,弹药带,,,
145,amplifier_(instrument),amplifier_(instrument),大音响,,,
146,amputee,amputee,欠损|独脚|肢体残缺|欠损少女,,,
147,amulet,amulet,护身符,,,
148,anal,anal,肛门|肛交|着衣肛交|骑乘位肛交,,,
149,anal_beads,anal_beads,肛珠,,,
150,anal_fingering,anal_fingering,手指刺激肛门,,,
151,anal_hair,anal_hair,肛毛,,,
152,anal_object_insertion,anal_object_insertion,肛门物体插入,,,
153,anal_tail,anal_tail,肛尾|插进肛门里的尾巴,,,
154,anchor,anchor,锚,,,
155,anchor_choker,anchor_choker,锚形项圈,,,
156,anchor_hair_ornament,anchor_hair_ornament,锚形发饰,,,
157,anchor_print,anchor_print,锚形印花,,,
158,anchor_symbol,anchor_symbol,锚形符号,,,
159,androgynous,androgynous,可男可女,,,
160,android,android,人造人,,,
161,angel,angel,天使,,,
162,angel_and_devil,angel_and_devil,天使与恶魔,,,
163,angel_wings,angel_wings,天使的翅膀,,,
164,anger_vein,anger_vein,青筋,,,
165,anglerfish,anglerfish,鮟鱇,,,
166,angora_rabbit,angora_rabbit,安哥拉兔,,,
167,angry,angry,发怒,,,
168,anilingus,anilingus,舔肛门,,,
169,animal,animal,动物,,,
170,animal_costume,animal_costume,动物系装扮,,,
171,animal_ear_fluff,animal_ear_fluff,耳绒毛,,,
172,animal_ears,animal_ears,兽耳,,,
173,animal_focus,animal_focus,以动物为焦点,,,
174,animal_hat,animal_hat,动物主题帽饰,,,
175,animal_hood,animal_hood,兽耳头罩,,,
176,animal_hug,animal_hug,抱着动物,,,
177,animal_on_head,animal_on_head,头上有动物,,,
178,animal_on_lap,animal_on_lap,膝盖上有动物,,,
179,animal_on_shoulder,animal_on_shoulder,肩上有动物,,,
180,animal_print,animal_print,动物印花,,,
181,animalization,animalization,动物化,,,
182,anime_coloring,anime_coloring,动画上色,,,
183,ankh,ankh,安库(假面骑士OOO),,,
184,ankle_boots,ankle_boots,踝靴,,,
185,ankle_lace-up,ankle_lace-up,脚踝系带,,,
186,ankle_ribbon,ankle_ribbon,踝带,,,
187,ankle_socks,ankle_socks,踝袜,,,
188,ankle_strap,ankle_strap,脚踝丝环,,,
189,ankle_wrap,ankle_wrap,脚踝套,,,
190,anklet,anklet,脚镯,,,
191,anniversary,anniversary,纪念日,,,
192,announcement_celebration,announcement_celebration,贺图,,,
193,annoyed,annoyed,恼怒的,,,
194,antenna_hair,antenna_hair,呆毛,,,
195,antennae,antennae,触角,,,
196,anti-materiel_rifle,anti-materiel_rifle,反器材步枪,,,
197,antique_firearm,antique_firearm,旧式火器,,,
198,antlers,antlers,鹿角,,,
199,anus,anus,肛门,,,
200,anus_peek,anus_peek,吸睛的肛门,,,
201,anzio_military_uniform,anzio_military_uniform,安齐奥军服,,,
202,anzio_school_uniform,anzio_school_uniform,安齐奥校服,,,
203,apple,apple,苹果,,,
204,applying_makeup,applying_makeup,化妆,,,
205,april_fools,april_fools,愚人节,,,
206,apron,apron,围裙,,,
207,aqua_background,aqua_background,水蓝色背景,,,
208,aqua_bow,aqua_bow,水蓝色蝴蝶结,,,
209,aqua_dress,aqua_dress,水蓝色连衣裙,,,
210,aqua_eyes,aqua_eyes,水蓝色眼睛,,,
211,aqua_hair,aqua_hair,水蓝色头发,,,
212,aqua_legwear,aqua_legwear,水蓝色的裤袜,,,
213,aqua_nails,aqua_nails,水蓝色指甲,,,
214,aqua_neckwear,aqua_neckwear,水蓝色领结,,,
215,aqua_panties,aqua_panties,水蓝色内裤,,,
216,aqua_ribbon,aqua_ribbon,水蓝色丝带,,,
217,aqua_shirt,aqua_shirt,水蓝色衬衫,,,
218,aqua_skirt,aqua_skirt,水蓝色短裙,,,
219,aqua_theme,aqua_theme,水蓝色,,,
220,aquarium,aquarium,水族馆,,,
221,ar-15,ar-15,AR-15,,,
222,arabian_clothes,arabian_clothes,阿拉伯服饰,,,
223,arachne,arachne,蜘蛛属性,,,
224,araki_hirohiko_(style),araki_hirohiko_(style),荒木飞吕彦风,,,
225,aran_sweater,aran_sweater,爱尔兰毛衣,,,
226,arched_back,arched_back,拱背,,,
227,archery,archery,射箭,,,
228,architecture,architecture,建筑,,,
229,areola_slip,areola_slip,乳晕走光,,,
230,areolae,areolae,乳晕,,,
231,argyle,argyle,菱形花纹,,,
232,argyle_background,argyle_background,菱形背景,,,
233,argyle_legwear,argyle_legwear,含菱形花纹的裤子,,,
234,aria_company_uniform,aria_company_uniform,亚利亚公司制服,,,
235,arm_around_neck,arm_around_neck,单手搂着脖子,,,
236,arm_around_waist,arm_around_waist,单手搂腰,,,
237,arm_at_side,arm_at_side,单手垂放,,,
238,arm_behind_back,arm_behind_back,单手背到身后,,,
239,arm_behind_head,arm_behind_head,单手托在脑后,,,
240,arm_belt,arm_belt,臂环,,,
241,arm_blade,arm_blade,手臂刀刃,,,
242,arm_cannon,arm_cannon,手炮,,,
