一级分类ID,一级分类名,二级分类ID,二级分类名
1100,基础设定,,
,,1101,图片属性/基础
,,1102,图片背景/场景
,,1103,镜头视线/视角
,,1104,镜头效果/景深
,,1105,画面透视/焦点
,,1106,画面像素/清晰度
,,1107,画面结构/空间
,,1108,画面风格/流派
,,1109,画面效果/特效
,,1110,画面标签/其他
,,,
1200,人物设定,,
,,1201,性别/性取向
,,1202,年龄/寿命
,,1203,人数/数量
,,1204,体形/体格
,,1205,种族/非人
,,1206,职业/身份
,,1207,人物风格/印象
,,1208,人物关系/家庭
,,1209,人物状态/异常
,,1210,人物标签/其他
,,,
1300,身体设定,,
,,1301,身体结构/透视
,,1302,身体动作/姿势
,,1303,人体外观/线条
,,1304,人体光影/阴影
,,1305,人体质感/肤色
,,1306,人体表现/外观
,,1307,胸部形状/胸围
,,1308,胸部效果/动态
,,1310,人体器官/其他
,,,
1400,脸部基础,,
,,1401,脸部色彩/质感
,,1402,脸部特征/疤痕
,,1403,脸部妆容/化妆
,,1404,脸部装饰/面具
,,1405,面部表情/感情
,,1406,表情符号/颜文字
,,1407,表情组合/动作
,,1408,脸部形状/结构
,,1409,脸部效果/光影
,,1410,脸部标签/其他
,,,
1500,面部五官,,
,,1501,眼睛外观/形状
,,1502,眼睛颜色/眼影
,,1503,眉毛形状/效果
,,1504,舌头形状/动态
,,1505,嘴唇形状/唇色
,,1506,耳朵形状/效果
,,1507,牙齿形状/效果
,,1508,鼻子形状/效果
,,1509,胡子形状/效果
,,1510,五官比例/其他
,,,
,,,
1600,头发设定,,
,,1601,头发属性/发型
,,1602,头发长度/外观
,,1603,头发发色/染发
,,1604,头发质感/触感
,,1605,头发发饰/发箍
,,1606,头发效果/风格
,,1607,前发设定/刘海
,,1608,侧发设定/辫子
,,1609,后发马尾/发髻
,,1610,发型组合/其他
,,,
1700,服装设定,,
,,1701,服装类型/描述
,,1702,服装风格/效果
,,1703,服装材质/厚度
,,1704,服装状态/变化
,,1705,服装分离/对称
,,1706,服装穿着/部位
,,1707,穿脱动作/更衣
,,1708,角色扮演/cos服
,,1710,服装标签/其他
,,,
1800,服装外观,,
,,1801,衬衫/短袖
,,1802,内衣/文胸
,,1803,内裤/胖次
,,1804,外套/风衣
,,1805,常服/套装
,,1806,鞋子/靴子
,,1807,袜子/裤袜
,,1808,手套/护手
,,1809,帽子/头盔
,,1810,裤子/短裤
,,1811,裙子/短裙
,,1812,泳装/比基尼
,,1813,毛衣/羽绒
,,1814,睡衣/单衣
,,1898,服装类型/其他
,,1899,服装组合/效果
,,,
1900,装饰设定,,
,,1901,手部装饰/手铐
,,1902,腿部装饰/腿环
,,1903,背部装饰/斗篷
,,1904,颈部装饰/项链
,,1905,头部装饰/兽耳
,,1906,耳环装饰/挂坠
,,1907,眼镜装饰/镜片
,,1908,臀部装饰/尾巴
,,1909,胸部装饰/胸花
,,1999,装饰外观/其他
,,,
,,,
2000,环境设定,,
,,2001,时间/维度
,,2002,季节/四季
,,2003,地点/设施
,,2004,自然/植物
,,2005,景观/建筑
,,2006,天气/气候
,,2007,节日/祭典
,,2008,天文/宇宙
,,2009,动物/环境
,,2010,机械/科幻
,,2011,怪物/外星
,,2012,符号/多边形
,,2013,场景/动态
,,2014,灾难/地理
,,2015,故事/历史
,,2016,电子/科技
,,2017,工业/材料
,,2019,化学/元素
,,2099,环境设定/其他
,,,
2100,动作设定,,
,,2101,头部动作/方向
,,2102,身体动作/方向
,,2103,手指动作/手势
,,2104,手臂动作/双手
,,2105,腿部动作/方向
,,2106,脚部动作/脚趾
,,2107,体操动作/武术
,,2108,多人动作/互动
,,2109,跑部跳跃/动作
,,2110,动作行为/其他
,,,
2200,肢体外观,,
,,2201,肢体数量调整
,,2202,肢体外观修改
,,2203,肢体属性状态
,,2204,腿部外观/效果
,,2205,足部外观/效果
,,2206,手部外观/效果
,,2207,脖子外观/效果
,,2208,身体外观/效果
,,2210,肢体组合/其他
,,,
2300,物品设定,,
,,2301,场景道具
,,2302,武器装备
,,2303,魔法物品
,,2304,宝石矿石
,,2305,乐器音乐
,,2306,动物野兽
,,2307,手工艺品
,,2308,食物蔬菜
,,2309,颜料绘画
,,2310,机械齿轮
,,2311,鱼海水产
,,2312,鲜花花卉
,,2313,鸟类飞禽
,,2314,昆虫苔藓
