id,name,t_name,is_nsfw,desc,remarks,contributor,c_id,update_times
,light smile,Î¢Ğ¦,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,seductive smile,ÓÕ»óĞ¦,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,grin,Â¶³İ¶øĞ¦,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,laughing,´óĞ¦,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,excited,ĞË·Ü,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,:d,±­ĞÍĞ¦Á³,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,smirk,Î¢Ğ¦,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,smug,µÃÒâ Ğ¼,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,naughty_face,µ÷Æ¤Á³,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,:3,¦ØÃ¨×ì,,,,È¸Ó¥£¬lehrersÂå¶ù,1406,
,:p,ÏòÏÂÍÂÉàÍ·,,,,È¸Ó¥£¬lehrersÂå¶ù,1406,
,:q,ÏòÉÏÍÂÉàÍ·,,,,È¸Ó¥£¬lehrersÂå¶ù,1406,
,:t,²»ÄÍ·³,,,,È¸Ó¥£¬lehrersÂå¶ù,1406,
,:|,²»¿ªĞÄ,,,,È¸Ó¥£¬lehrersÂå¶ù,1406,
,embarrassed,º¦Ğß,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,blush,Á³ºì,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,expressionless calm,ÃæÉ«Æ½¾²,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,emotionless,ÃæÎŞ±íÇé,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,expressionless,ÃæÎŞ±íÇé,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,sleepy,"	À§·¦µÄ",,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,crying with eyes open,ÕöÑÛ´ó¿Ş,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,sad,"	±¯ÉËµÄ",,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,pout,±ğÅ¤ Å¬×ì,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,sigh,Ì¾Æø,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,angry,ÉúÆø,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,annoyed,"	¿àÄÕµÄ",,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,frown,"	ÖåÃ¼/õ¾¶î",,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,smirk,ÈÏÕæ,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,scowl,ÈñÀû,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,crazy,"	·è¿ñµÄ",,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,dark_persona,"	ºÚ»¯µÄ",,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,shy,º¦Ğß,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,nose blush,±Ç×ÓÁ³ºì,,,,È¸Ó¥£¬lehrersÂå¶ù,1405,
,expressionless eyes,ÎŞ±íÇéÑÛ¾¦,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,drunk,"	ºÈ×íµÄ",,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,wide eyed,Õö´óÑÛ¾¦,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,jitome,±ÉÒÄµÄÑÛÉñ,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,serious,ÑÏËà,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,food on face, Ê³ÎïÔÚÁ³ÉÏ,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,blood on face,ÑªÔÚÁ³ÉÏ,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,dangerous smile,Î£ÏÕµÄĞ¦Èİ,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,facepaint,ÃæÎÆ,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,makeup,Å¨×±,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,light blush,µ­µ­Èùºì,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,cute face,¿É°®Á³,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,white colored eyelashes,°×É«½ŞÃ«,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,longeyelashes,³¤½ŞÃ«,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,white eyebrows,°×É«Ã¼Ã«,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,tsurime,µõÑÛ½Ç,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,gradient_eyes,½¥±äÑÛ,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,beautiful detailed eyes,ÃÀÀöµÄÏ¸½ÚÑÛ¾¦,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
,tareme,´¹ÑÛ½Ç,,,,È¸Ó¥£¬lehrersÂå¶ù,1501,
