"id","name","level","desc","p_id"
"1100","基础设定","1",,
"1101","图片属性/基础","2",,"1100"
"1102","图片背景/场景","2",,"1100"
"1103","镜头视线/视角","2",,"1100"
"1104","镜头效果/景深","2",,"1100"
"1105","画面透视/焦点","2",,"1100"
"1106","画面像素/清晰度","2",,"1100"
"1107","画面结构/空间","2",,"1100"
"1108","画面风格/流派","2",,"1100"
"1109","画面效果/特效","2",,"1100"
"1110","画面标签/其他","2",,"1100"
"1200","人物设定","1",,
"1201","性别/性取向","2",,"1200"
"1202","年龄/寿命","2",,"1200"
"1203","人数/数量","2",,"1200"
"1204","体形/体格","2",,"1200"
"1205","种族/非人","2",,"1200"
"1206","职业/身份","2",,"1200"
"1207","人物风格/印象","2",,"1200"
"1208","人物关系/家庭","2",,"1200"
"1209","人物状态/异常","2",,"1200"
"1210","人物标签/其他","2",,"1200"
"1300","身体设定","1",,
"1301","身体结构/透视","2",,"1300"
"1302","身体动作/姿势","2",,"1300"
"1303","人体外观/线条","2",,"1300"
"1304","人体光影/阴影","2",,"1300"
"1305","人体质感/肤色","2",,"1300"
"1306","人体表现/外观","2",,"1300"
"1307","胸部形状/胸围","2",,"1300"
"1308","胸部效果/动态","2",,"1300"
"1310","人体器官/其他","2",,"1300"
"1400","脸部基础","1",,
"1401","脸部色彩/质感","2",,"1400"
"1402","脸部特征/疤痕","2",,"1400"
"1403","脸部妆容/化妆","2",,"1400"
"1404","脸部装饰/面具","2",,"1400"
"1405","面部表情/感情","2",,"1400"
"1406","表情符号/颜文字","2",,"1400"
"1407","表情组合/动作","2",,"1400"
"1408","脸部形状/结构","2",,"1400"
"1409","脸部效果/光影","2",,"1400"
"1410","脸部标签/其他","2",,"1400"
"1500","面部五官","1",,
"1501","眼睛外观/形状","2",,"1500"
"1502","眼睛颜色/眼影","2",,"1500"
"1503","眉毛形状/效果","2",,"1500"
"1504","舌头形状/动态","2",,"1500"
"1505","嘴唇形状/唇色","2",,"1500"
"1506","耳朵形状/效果","2",,"1500"
"1507","牙齿形状/效果","2",,"1500"
"1508","鼻子形状/效果","2",,"1500"
"1509","胡子形状/效果","2",,"1500"
"1510","五官比例/其他","2",,"1500"
"1511","五官组合","2",,"1500"
"1600","头发设定","1",,
"1601","头发属性/发型","2",,"1600"
"1602","头发长度/外观","2",,"1600"
"1603","头发发色/染发","2",,"1600"
"1604","头发质感/触感","2",,"1600"
"1605","头发发饰/发箍","2",,"1600"
"1606","头发效果/风格","2",,"1600"
"1607","前发设定/刘海","2",,"1600"
"1608","侧发设定/辫子","2",,"1600"
"1609","后发马尾/发髻","2",,"1600"
"1610","发型组合/其他","2",,"1600"
"1700","服装设定","1",,
"1701","服装类型/描述","2",,"1700"
"1702","服装风格/效果","2",,"1700"
"1703","服装材质/厚度","2",,"1700"
"1704","服装状态/变化","2",,"1700"
"1705","服装分离/对称","2",,"1700"
"1706","服装穿着/部位","2",,"1700"
"1707","穿脱动作/更衣","2",,"1700"
"1708","角色扮演/cos服","2",,"1700"
"1710","服装标签/其他","2",,"1700"
"1800","服装外观","1",,
"1801","衬衫/短袖","2",,"1800"
"1802","内衣/文胸","2",,"1800"
"1803","内裤/胖次","2",,"1800"
"1804","外套/风衣","2",,"1800"
"1805","常服/套装","2",,"1800"
"1806","鞋子/靴子","2",,"1800"
"1807","袜子/裤袜","2",,"1800"
"1808","手套/护手","2",,"1800"
"1809","帽子/头盔","2",,"1800"
"1810","裤子/短裤","2",,"1800"
"1811","裙子/短裙","2",,"1800"
"1812","泳装/比基尼","2",,"1800"
"1813","毛衣/羽绒","2",,"1800"
"1814","睡衣/单衣","2",,"1800"
"1898","服装类型/其他","2",,"1800"
"1899","服装组合/效果","2",,"1800"
"1900","装饰设定","1",,
"1901","手部装饰/手铐","2",,"1900"
"1902","腿部装饰/腿环","2",,"1900"
"1903","背部装饰/斗篷","2",,"1900"
"1904","颈部装饰/项链","2",,"1900"
"1905","头部装饰/兽耳","2",,"1900"
"1906","耳环装饰/挂坠","2",,"1900"
"1907","眼镜装饰/镜片","2",,"1900"
"1908","臀部装饰/尾巴","2",,"1900"
"1909","胸部装饰/胸花","2",,"1900"
"1999","装饰外观/其他","2",,"1900"
"2000","环境设定","1",,
"2001","时间/维度","2",,"2000"
"2002","季节/四季","2",,"2000"
"2003","地点/设施","2",,"2000"
"2004","自然/植物","2",,"2000"
"2005","景观/建筑","2",,"2000"
"2006","天气/气候","2",,"2000"
"2007","节日/祭典","2",,"2000"
"2008","天文/宇宙","2",,"2000"
"2009","动物/环境","2",,"2000"
"2010","机械/科幻","2",,"2000"
"2011","怪物/外星","2",,"2000"
"2012","符号/多边形","2",,"2000"
"2013","场景/动态","2",,"2000"
"2014","灾难/地理","2",,"2000"
"2015","故事/历史","2",,"2000"
"2016","电子/科技","2",,"2000"
"2017","工业/材料","2",,"2000"
"2019","化学/元素","2",,"2000"
"2099","环境设定/其他","2",,"2000"
"2100","动作设定","1",,
"2101","头部动作/方向","2",,"2100"
"2102","身体动作/方向","2",,"2100"
"2103","手指动作/手势","2",,"2100"
"2104","手臂动作/双手","2",,"2100"
"2105","腿部动作/方向","2",,"2100"
"2106","脚部动作/脚趾","2",,"2100"
"2107","体操动作/武术","2",,"2100"
"2108","多人动作/互动","2",,"2100"
"2109","跑部跳跃/动作","2",,"2100"
"2110","动作行为/其他","2",,"2100"
"2200","肢体外观","1",,
"2201","肢体数量调整","2",,"2200"
